California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
197011,6.56,3.86
197012,5.67,1.66
197101,2.39,-1.68
197102,0.72,-3.24
197103,3.26,-0.07
197104,1.18,-0.48
197105,1.53,0.57
197106,0.41,0.07
197107,0.15,-0.03
197108,0.32,0.09
197109,0.56,0.14
197110,0.51,-0.76
197111,2.20,-0.50
197112,5.01,1.00
197201,1.84,-2.23
197202,1.98,-1.98
197203,1.16,-2.17
197204,1.41,-0.25
197205,0.46,-0.50
197206,0.40,0.06
197207,0.03,-0.15
197208,0.19,-0.04
197209,0.75,0.33
197210,1.79,0.52
197211,4.23,1.53
197212,2.97,-1.04
197301,6.05,1.98
197302,5.35,1.39
197303,3.34,0.01
197304,0.41,-1.25
197305,0.41,-0.55
197306,0.06,-0.28
197307,0.06,-0.12
197308,0.17,-0.06
197309,0.53,0.11
197310,1.91,0.64
197311,6.58,3.88
197312,4.06,0.05
197401,5.67,1.60
197402,1.66,-2.30
197403,5.40,2.07
197404,1.77,0.11
197405,0.17,-0.79
197406,0.13,-0.21
197407,0.40,0.22
197408,0.19,-0.04
197409,0.01,-0.41
197410,1.55,0.28
197411,1.03,-1.67
197412,3.37,-0.64
197501,1.58,-2.49
197502,5.41,1.45
197503,5.76,2.43
197504,2.08,0.42
197505,0.24,-0.72
197506,0.20,-0.14
197507,0.17,-0.01
197508,0.33,0.10
197509,0.34,-0.08
197510,2.61,1.34
197511,1.19,-1.51
197512,1.03,-2.98
197601,0.45,-3.62
197602,3.89,-0.07
197603,1.40,-1.93
197604,1.49,-0.17
197605,0.25,-0.71
197606,0.15,-0.19
197607,0.34,0.16
197608,0.55,0.32
197609,1.31,0.89
197610,0.51,-0.76
197611,0.86,-1.84
197612,0.55,-3.46
197701,1.98,-2.09
197702,1.16,-2.80
197703,1.64,-1.69
197704,0.23,-1.43
197705,1.88,0.92
197706,0.35,0.01
197707,0.08,-0.10
197708,0.75,0.52
197709,0.87,0.45
197710,0.50,-0.77
197711,2.18,-0.52
197712,5.91,1.90
197801,7.97,3.90
197802,5.77,1.81
197803,5.75,2.42
197804,3.48,1.82
197805,0.38,-0.58
197806,0.17,-0.17
197807,0.12,-0.06
197808,0.22,-0.01
197809,1.31,0.89
197810,0.20,-1.07
197811,1.96,-0.74
197812,1.53,-2.48
197901,5.05,0.98
197902,4.86,0.90
197903,3.44,0.11
197904,1.12,-0.54
197905,0.84,-0.12
197906,0.05,-0.29
197907,0.38,0.20
197908,0.45,0.22
197909,0.24,-0.18
197910,2.51,1.24
197911,2.55,-0.15
197912,3.14,-0.87
198001,6.63,2.56
198002,7.51,3.55
198003,2.81,-0.52
198004,1.68,0.02
198005,0.88,-0.08
198006,0.33,-0.01
198007,0.20,0.02
198008,0.04,-0.19
198009,0.22,-0.20
198010,0.57,-0.70
198011,0.63,-2.07
198012,2.62,-1.39
198101,4.39,0.32
198102,2.08,-1.88
198103,4.04,0.71
198104,0.97,-0.69
198105,0.90,-0.06
198106,0.09,-0.25
198107,0.04,-0.14
198108,0.10,-0.13
198109,0.58,0.16
198110,2.44,1.17
198111,5.99,3.29
198112,4.62,0.61
198201,4.24,0.17
198202,2.95,-1.01
198203,5.78,2.45
198204,3.64,1.98
198205,0.22,-0.74
198206,0.68,0.34
198207,0.23,0.05
198208,0.36,0.13
198209,1.26,0.84
198210,2.66,1.39
198211,5.05,2.35
198212,4.92,0.91
198301,5.93,1.86
198302,6.80,2.84
198303,9.02,5.69
198304,3.12,1.46
198305,0.53,-0.43
198306,0.23,-0.11
198307,0.10,-0.08
198308,1.14,0.91
198309,0.91,0.49
198310,1.18,-0.09
198311,6.55,3.85
198312,6.95,2.94
198401,0.33,-3.74
198402,2.20,-1.76
198403,1.67,-1.66
198404,1.21,-0.45
198405,0.39,-0.57
198406,0.43,0.09
198407,0.59,0.41
198408,0.61,0.38
198409,0.27,-0.15
198410,1.61,0.34
198411,6.14,3.44
198412,2.87,-1.14
198501,0.81,-3.26
198502,1.85,-2.11
198503,2.88,-0.45
198504,0.24,-1.42
198505,0.20,-0.76
198506,0.21,-0.13
198507,0.28,0.10
198508,0.07,-0.16
198509,1.08,0.66
198510,1.15,-0.12
198511,3.84,1.14
198512,2.09,-1.92
198601,3.80,-0.27
198602,9.33,5.37
198603,4.70,1.37
198604,1.00,-0.66
198605,0.70,-0.26
198606,0.08,-0.26
198607,0.22,0.04
198608,0.12,-0.11
198609,1.40,0.98
198610,0.64,-0.63
198611,0.77,-1.93
198612,1.49,-2.52
198701,3.07,-1.00
198702,2.79,-1.17
198703,3.59,0.26
198704,0.40,-1.26
198705,0.63,-0.33
198706,0.20,-0.14
198707,0.25,0.07
198708,0.04,-0.19
198709,0.10,-0.32
198710,1.33,0.06
198711,2.26,-0.44
198712,5.04,1.03
198801,3.84,-0.23
198802,0.80,-3.16
198803,0.59,-2.74
198804,2.42,0.76
198805,0.91,-0.05
198806,0.57,0.23
198807,0.09,-0.09
198808,0.41,0.18
